,235934_at,1552729_at,1558474_at,1556314_a_at,236807_at,234972_at,210387_at,207024_at,207790_at,217493_x_at,202254_at,34449_at,239843_at,1557483_at,46665_at,202481_at,216338_s_at,231497_at,214066_x_at,233846_at,1564887_at,218988_at,243097_x_at,233483_at,244667_at,208487_at,242303_at,229562_at,212839_s_at,40359_at,244268_x_at,220632_s_at,1553569_at,201489_at,206729_at,1561206_at,1560968_at,242760_x_at,1561365_at,1563946_at,237858_s_at,1554171_at,227779_at,228112_at,230530_at,203780_at,240113_at,221059_s_at,222020_s_at,202266_at,group
1,29.18950823,44.96644732,12.77959313,21.8080822,34.02820157,128.9190811,306.3242985,20.02911818,16.0780663,63.02240915,115.72285409999999,46.90211253,173.9374767,17.39118098,471.6422005,268.2478876,518.7548107,21.34114978,53.47934905,30.93085911,28.13975768,195.1827845,27.53676161,85.109779,29.07465162,17.85599966,29.2025207,61.61086988,9.659422912,423.23525589999997,159.44565790000001,73.40574129,11953.45457,847.5225826999999,160.82166930000002,6.111938387,18.0601003,109.38885900000001,6.364931554,64.47875578,22.6876142,66.26090486,13.26100306,42.28438235,53.03158636,24.78142081,31.04999218,5942.853082,11.71886546,1301.888338,0
2,40.59122572,40.87809329,12.46235661,40.90595563,40.30508613,89.52607302,46.92097216,18.55351977,16.916532800000002,74.28803703,112.69307079999999,37.98397538,226.7195516,18.21926684,495.1782028,286.0931212,561.5217131,30.44617318,48.39700951,22.87671505,40.489726700000006,242.6836324,32.54878984,56.21658845,27.81869812,20.43431533,23.4141539,57.85865976,11.98927072,372.6405852,183.7466325,74.58931125,10822.52866,1022.7834460000001,149.4327959,7.017363033,16.87330875,140.5960254,6.8371022439999996,60.26786279,20.64857047,60.68419857,15.88820238,49.68966809,33.72690434,33.03377636,32.99624617,5749.855561,14.45110593,1627.9718070000001,0
3,38.31071377,53.41348086,16.34757798,16.97450972,38.98040027,143.94571169999998,424.9245831,18.10893754,20.51439923,80.99837165,127.2776241,41.37180509,313.0905166,14.80793949,446.1744221,307.54250360000003,446.66116050000005,41.25788611,51.89871813,33.01770638,43.67128267,193.2527321,29.93642416,49.15212892,51.44286188,21.08730759,39.19174759,59.80271176,9.380299586,379.504452,160.4627926,65.93849254,11804.75108,971.7403059000001,131.4820459,6.294418051,13.96656174,117.6630885,6.538301927999999,67.36769346,17.56312913,81.91138027,13.895222199999997,68.96244406,49.07168821,30.30678686,33.67397203,5355.219522,16.75333025,1338.600738,0
4,44.13355325,43.13843699,16.03567302,27.87938825,47.02027267,128.64806969999998,42.81394884,22.37235154,17.38146765,82.92585059,109.4576517,22.30983595,245.9765545,17.93696629,330.10175530000004,200.5401088,590.8569183,35.442685100000006,48.18182049,34.34182966,44.0656628,207.6148747,32.50250484,44.0395249,56.30639966,21.82002728,36.21722237,75.86618041,9.364214619,379.3713708,167.07568740000002,83.74052165,11850.99031,1514.252418,192.5723817,6.51233087,17.711985000000002,166.39808269999997,6.67093045,80.27845798,24.49375403,54.43105145,15.16477303,47.13337224,51.97215587,33.98626695,43.68490658,6594.099770000001,20.22668518,1775.968158,0
5,54.36484011,47.47200241,18.14784075,35.99476015,43.97467469,99.35254371,27.65698527,24.60563767,26.90415331,96.82394691,84.01220339,21.33366606,182.0105164,18.58117719,553.8183324,125.3440757,324.3183851,42.54533361,59.653670299999995,33.88267798,47.79543745,177.5619934,36.70124249,65.30809857,62.57259364,28.57053209,39.55924536,77.93535266,15.37709421,397.7527238,156.29957009999998,78.58516027,11862.90729,680.8008368,126.8171456,6.823306391,18.34741616,76.63412187,7.819438425,67.86218608,33.28247924,90.32747654,23.83513679,39.84942494,47.17144858,46.47181221,31.00304471,4849.7343200000005,16.16884813,1120.129641,0
6,28.98878576,47.72800074,12.39366523,33.61711468,36.65855464,119.3232196,33.90957976,12.06039288,18.36629859,59.08807116,126.8630392,54.20582545,280.28039029999997,20.45812469,457.87151339999997,272.358862,544.3568871,26.72516593,53.89651183,25.35995007,35.64480689,252.1658327,29.69446222,48.16315513,34.35040015,17.36946003,38.54193236,56.983723899999994,10.32633212,415.51881660000004,216.4522519,85.3522926,11328.97722,968.9705445000001,182.7206655,8.31222093,15.91476556,150.5508455,7.102657903,60.47646887,24.91832173,59.37324255,17.13405833,63.53541159,35.37077684,20.2571597,31.36970376,5469.298169,14.23830001,1910.004074,0
7,29.13808178,35.99620726,14.10842465,54.18786872,30.19787235,145.95997509999998,47.24022726,21.75529991,17.83626952,60.15038223,138.74529130000002,37.89122823,260.06383880000004,15.20354658,273.9413045,212.98706409999997,488.0513034,27.866154100000003,43.88998889,30.23104616,32.14817644,216.74441370000002,28.24199308,72.13817399,39.9734725,17.17809322,22.64225905,58.79925619,10.5670883,349.87796560000004,183.4546929,74.43607091,11136.66774,891.6860272,132.3638179,7.292851411,12.63642097,166.58584409999997,7.0045530629999995,56.41066347,25.1646565,59.97797878,12.36322311,47.33941589,34.47252332,22.77804463,31.05464133,5310.5663079999995,15.128667300000002,1414.748605,0
8,41.68721246,44.33938947,15.38012155,17.95209114,39.98414131,143.54666469999998,145.8555021,19.8073092,16.70726874,75.53670772,91.59259118,30.29158156,165.23631709999998,15.8463207,499.0722924,248.8721527,451.9229459,34.06638602,60.32411751,32.63189805,40.37521396,184.56472069999998,26.79542883,68.42900193,38.82497256,21.00434657,28.44738234,56.1431848,11.23782551,467.5568558,147.72702859999998,86.21703237,12899.25389,856.0053481000001,131.98946750000002,8.497874279,15.30218749,105.66252639999999,5.573590464,63.88051329,25.74288785,69.73939773,14.56476986,51.72941603,57.19626362,16.85534206,39.90205103,5664.920521999999,13.60217073,1411.437959,0
9,32.57431645,45.98221314,10.29793383,33.91743111,33.53319401,92.35153271,88.14348295,15.67067045,21.94438601,62.75641349,136.5159775,38.386762899999994,258.53485789999996,17.6662264,437.1558818,251.44673319999998,493.6090379,31.36292042,53.07722352,30.35093382,41.83686953,200.9475253,27.33573004,38.03018363,32.18753074,17.46204961,33.81402851,61.25463039,13.97391147,363.315977,192.3557306,71.10952923,11884.6352,1161.2637789999999,200.8526937,8.583077351,13.972294,148.2863509,6.619774165,59.83285502,20.5226482,55.27077742,15.64609799,56.69206834,30.93431108,34.68355801,38.35301261,5467.251396,10.93253453,1863.849944,0
10,30.22628985,49.83930344,16.05011801,36.8341233,33.69124882,160.64329990000002,45.05467791,20.88515579,20.31481047,79.12304263,92.21528519,31.70690162,168.4795876,19.98277447,378.8035392,211.8664003,714.1399417,35.3499189,47.16258859,41.19738899,37.91952533,230.8456921,27.92994834,61.10302925,49.52276632,23.81241438,34.47727866,62.33791512,11.47644572,397.27824960000004,120.1389375,80.69654494,8918.466811,1420.0834539999998,264.4862662,6.344168107000001,14.93910693,89.3098256,6.940776147,60.64828733,25.44608848,65.31507023,13.89014736,49.59810172,46.94992669,21.89392941,35.83041877,5994.526142000001,15.84143365,1133.23394,0
11,39.26489135,42.99598378,14.12097696,25.60802349,32.44155347,159.70348669999998,70.87303864,18.15788167,23.05307026,69.33836918,141.3496989,35.06775089999999,302.9874023,17.92427673,327.6559682,208.61397549999998,533.2428847,35.03361603,44.62134204,28.24702452,37.83181272,190.9750025,34.94584435,54.66194916,49.05210011,20.44315557,33.35832629,50.39218124,10.85141294,332.9943757,180.4060612,67.50642904,11860.60515,1070.463582,171.00219099999998,7.663083362,14.761475199999998,156.111932,6.568199738,59.97427885,22.90373535,50.83449851,10.90573425,44.42485,46.19782417,37.01928177,32.27331793,5814.139615,14.63350035,1458.621652,0
