,235934_at,1552729_at,1558474_at,1556314_a_at,236807_at,234972_at,210387_at,207024_at,207790_at,217493_x_at,group
1,29.18950823,44.96644732,12.77959313,21.8080822,34.02820157,128.9190811,306.3242985,20.02911818,16.0780663,63.02240915,0
2,40.59122572,40.87809329,12.46235661,40.90595563,40.30508613,89.52607302,46.92097216,18.55351977,16.916532800000002,74.28803703,0
3,38.31071377,53.41348086,16.34757798,16.97450972,38.98040027,143.94571169999998,424.9245831,18.10893754,20.51439923,80.99837165,0
4,44.13355325,43.13843699,16.03567302,27.87938825,47.02027267,128.64806969999998,42.81394884,22.37235154,17.38146765,82.92585059,0
5,54.36484011,47.47200241,18.14784075,35.99476015,43.97467469,99.35254371,27.65698527,24.60563767,26.90415331,96.82394691,0
6,28.98878576,47.72800074,12.39366523,33.61711468,36.65855464,119.3232196,33.90957976,12.06039288,18.36629859,59.08807116,0
7,29.13808178,35.99620726,14.10842465,54.18786872,30.19787235,145.95997509999998,47.24022726,21.75529991,17.83626952,60.15038223,0
8,41.68721246,44.33938947,15.38012155,17.95209114,39.98414131,143.54666469999998,145.8555021,19.8073092,16.70726874,75.53670772,0
9,32.57431645,45.98221314,10.29793383,33.91743111,33.53319401,92.35153271,88.14348295,15.67067045,21.94438601,62.75641349,0
10,30.22628985,49.83930344,16.05011801,36.8341233,33.69124882,160.64329990000002,45.05467791,20.88515579,20.31481047,79.12304263,0
11,39.26489135,42.99598378,14.12097696,25.60802349,32.44155347,159.70348669999998,70.87303864,18.15788167,23.05307026,69.33836918,0
12,36.58732411,57.30702111,14.16271547,20.91594099,30.84819134,150.1177748,250.20433930000002,18.52221846,20.50272834,73.35223401,0
13,38.65772949,38.32356853,12.29278587,37.0266982,33.68882019,153.4453376,99.66209526,17.58199652,17.37892573,42.735586,0
14,44.42266376,41.68588329,12.31382444,27.01815022,43.01816259,129.4908187,56.355597200000005,16.35212245,20.53998183,70.6282282,0
15,51.29122063,75.16452415,15.98558903,22.91906048,37.88082904,123.02715690000001,287.9660652,19.55897687,20.6244108,88.99411305,0
