,235934_at,1552729_at,1558474_at,1556314_a_at,236807_at,234972_at,210387_at,207024_at,207790_at,217493_x_at,202254_at,34449_at,239843_at,1557483_at,46665_at,202481_at,216338_s_at,231497_at,214066_x_at,233846_at,1564887_at,218988_at,243097_x_at,233483_at,244667_at,208487_at,242303_at,229562_at,212839_s_at,40359_at,244268_x_at,220632_s_at,1553569_at,201489_at,206729_at,1561206_at,1560968_at,242760_x_at,1561365_at,1563946_at,237858_s_at,1554171_at,227779_at,228112_at,230530_at,203780_at,240113_at,221059_s_at,222020_s_at,202266_at,226960_at,201179_s_at,1553570_x_at,1558324_a_at,233541_at,203886_s_at,202207_at,215745_at,215341_at,213823_at,240856_at,1558407_at,237077_at,231012_at,234713_x_at,217264_s_at,1556195_a_at,1553798_a_at,208720_s_at,1560214_at,1554919_s_at,215838_at,239705_at,237359_at,1569362_at,222957_at,205346_at,239306_at,207578_s_at,1553508_at,212439_at,224503_s_at,1568931_at,208877_at,218181_s_at,1552546_a_at,231058_at,226679_at,1559620_at,218924_s_at,1564823_at,226239_at,222861_x_at,230486_at,236767_at,236388_at,1566269_at,229727_x_at,202531_at,48106_at,203938_s_at,222066_at,1558705_at,235906_at,238706_at,234900_at,204037_at,229836_s_at,1557638_at,230098_at,221827_at,203512_at,234664_at,202765_s_at,1562729_at,216566_at,1554464_a_at,1555096_at,1555032_at,224004_at,236218_at,206766_at,216413_at,1555291_at,230179_at,231743_at,209945_s_at,211478_s_at,222865_x_at,213222_at,239033_at,212665_at,234463_at,219859_at,234610_at,218528_s_at,241565_at,232567_at,214321_at,227153_at,208659_at,224557_x_at,202877_s_at,201336_at,235167_at,1569723_a_at,242027_at,244029_at,223651_x_at,241940_at,229806_at,217490_at,240713_s_at,236051_at,236192_at,1565733_at,202245_at,235782_at,233376_at,221879_at,201156_s_at,208472_at,217347_at,1556593_s_at,211773_s_at,1557394_at,240303_at,227661_at,1562236_at,242839_at,55065_at,226688_at,224973_at,202798_at,206786_at,232552_at,215409_at,238573_at,226747_at,1560520_at,240943_at,228559_at,205459_s_at,238552_at,213965_s_at,208068_x_at,1566266_at,220642_x_at,207018_s_at,227844_at,205802_at,50965_at,1557136_at,240018_at,213765_at,1556736_at,237667_at,238329_at,226346_at,201154_x_at,group
1,29.18950823,44.96644732,12.77959313,21.8080822,34.02820157,128.9190811,306.3242985,20.02911818,16.0780663,63.02240915,115.72285409999999,46.90211253,173.9374767,17.39118098,471.6422005,268.2478876,518.7548107,21.34114978,53.47934905,30.93085911,28.13975768,195.1827845,27.53676161,85.109779,29.07465162,17.85599966,29.2025207,61.61086988,9.659422912,423.23525589999997,159.44565790000001,73.40574129,11953.45457,847.5225826999999,160.82166930000002,6.111938387,18.0601003,109.38885900000001,6.364931554,64.47875578,22.6876142,66.26090486,13.26100306,42.28438235,53.03158636,24.78142081,31.04999218,5942.853082,11.71886546,1301.888338,33.17986244,318.0833398,12890.76266,30.68115735,43.72462179,56.86807246,1448.154688,13.52733745,24.31921912,28.50989854,6.418063217,182.9920294,21.04725233,30.88987226,31.51542034,81.26724039,22.64651264,48.60291708,3167.8097980000002,61.19827148,14.46743242,398.6489337,14.52062856,9.730709495,8.419642632,65.99171472,64.35623401,34.53463331,76.08504471,15.96139676,456.7709215,82.04309431,12.17649493,829.0561471,550.0206598999999,47.47608281,14.54979579,400.5562378,16.47429702,351.57654110000004,19.31756035,65.02794826,73.86325831,83.07618145,19.01296991,76.45039232,8.771824816,42.21415702,2674.567687,215.4645926,283.6031998,13.76046197,61.15696892,19.94843966,17.04433019,14.51205577,54.81196687,22.14891312,9.041486601,273.2602875,791.1678547,348.11568289999997,36.1925035,11.65190549,15.56090432,8.009548945,177.9739155,10.58595118,14.44747031,7.9623208089999995,105.7310277,53.39079033,9.803337557,11.28671699,112.8949388,39.98261702,234.921509,109.768097,64.83450876,82.97443526,26.49800794,437.4171574,18.34503815,121.18556059999999,15.71743618,499.98049360000005,21.10244121,26.48537444,141.8881209,89.26087228,4583.392115,28.55506968,405.0398374,1922.209677,12.37550935,10.50233343,22.20551306,151.9530687,6.747443541,46.0812517,126.28758429999999,29.33180605,5.128994414,14.98401143,72.81294214,11.84164825,302.71177819999997,51.56273913,26.29245588,179.2105798,286.3000278,50.389282200000004,46.14533811,29.003317,76.10640665,36.99447705,15.55483299,28.27111738,5.768223237999999,64.678979,306.2966972,82.7179198,47.71473649,511.1408199,6.549728022999999,46.52815257,41.69189377,37.93934851,99.1311801,43.79799737,54.55486684,42.56978799,50.76097939,20.689889,35.610135,37.67628989,6.435200059,286.3357506,10.20132752,152.386892,15.93351874,20.32106347,16.83732446,8.702367844,8.218231668,8.697700311,7.957768886,86.99641225,29.17813971,11629.004659999999,control
2,40.59122572,40.87809329,12.46235661,40.90595563,40.30508613,89.52607302,46.92097216,18.55351977,16.916532800000002,74.28803703,112.69307079999999,37.98397538,226.7195516,18.21926684,495.1782028,286.0931212,561.5217131,30.44617318,48.39700951,22.87671505,40.489726700000006,242.6836324,32.54878984,56.21658845,27.81869812,20.43431533,23.4141539,57.85865976,11.98927072,372.6405852,183.7466325,74.58931125,10822.52866,1022.7834460000001,149.4327959,7.017363033,16.87330875,140.5960254,6.8371022439999996,60.26786279,20.64857047,60.68419857,15.88820238,49.68966809,33.72690434,33.03377636,32.99624617,5749.855561,14.45110593,1627.9718070000001,29.53226287,363.2016635,11767.09028,30.51284929,52.181264500000005,52.99619955,1295.443159,10.11666589,37.32517191,28.95858089,5.879396195,227.85101699999998,28.00795997,30.87249124,26.44822504,91.29051068,26.74660734,56.29590194,2520.387772,81.28335241,14.22275458,332.1239612,17.41324292,9.826556878,7.363736485,57.85865976,69.90864659,33.68342647,105.8999428,20.21405704,489.98881270000004,84.63109923,17.28246382,919.4453398,690.4030367,44.9629566,13.65372789,355.48650919999994,15.50294074,520.2181773,21.39372802,65.72694387,65.59936752,83.83001602,16.71354661,74.64956767,8.943775654,36.55442112,2951.4127949999997,238.38704080000002,228.14496430000003,13.85110337,58.90658448,25.3636945,30.0307375,13.35304626,67.43749301,22.59004125,8.850058551,366.41607830000004,789.7088237,340.5727037,45.68209786,8.671274165,15.95610923,8.162329777,238.2989856,10.68719987,21.43723601,9.361177427000001,170.21460259999998,37.06750228,9.542346009,10.75388467,123.29085649999999,39.45392702,254.61242259999997,101.4154047,67.19607216,166.6884117,30.50606093,586.5494777000001,23.75660873,215.1340391,16.47334926,562.5587657000001,24.42862912,37.43928557,238.6083963,56.25381365,5112.098787,38.39471942,683.533862,2462.9472260000002,11.86335367,10.32616034,16.00889694,112.17318259999999,8.886972352999999,32.92941552,132.1808163,24.57637109,5.717434766,13.20627785,100.7324012,11.69522733,274.2253247,63.37807782,33.8483593,206.70593469999997,412.01384289999993,62.43646705,43.22685588,24.46353526,68.60467568,35.42627815,15.27313163,26.17660332,5.840209005,30.33844002,310.1568118,79.01627878,53.06887278,632.7544771,8.507097565,47.54804108,25.66481578,33.10114002,149.8747981,21.80019296,58.79750369,34.39380916,55.58840183,25.40365188,34.94337373,44.82249338,6.300725684,244.1506824,8.954898004,101.34204240000001,14.94403672,27.33051992,14.31525039,7.9971392,10.11666589,10.19854192,7.5463133120000006,109.2644291,21.9092015,10225.82768,control
3,38.31071377,53.41348086,16.34757798,16.97450972,38.98040027,143.94571169999998,424.9245831,18.10893754,20.51439923,80.99837165,127.2776241,41.37180509,313.0905166,14.80793949,446.1744221,307.54250360000003,446.66116050000005,41.25788611,51.89871813,33.01770638,43.67128267,193.2527321,29.93642416,49.15212892,51.44286188,21.08730759,39.19174759,59.80271176,9.380299586,379.504452,160.4627926,65.93849254,11804.75108,971.7403059000001,131.4820459,6.294418051,13.96656174,117.6630885,6.538301927999999,67.36769346,17.56312913,81.91138027,13.895222199999997,68.96244406,49.07168821,30.30678686,33.67397203,5355.219522,16.75333025,1338.600738,28.69837214,402.92513629999996,13540.46816,29.76271021,41.34113234,60.48875241,1459.3902449999998,14.56759688,28.34194769,35.16053214,5.495455247000001,192.96601850000002,26.17045315,29.9167593,64.70615293,93.96007762,33.90558426,61.7721226,3764.832593,85.51697996,13.0307932,474.88783839999996,20.107098399999998,10.24652633,8.341576102000001,64.45274955,43.21040956,24.90233293,85.23854135,29.4344956,428.1946618,73.33271255,15.58662859,886.2070538999999,622.5150905,62.46867393,15.12149631,363.8658889,14.32056988,385.9606615,28.22203276,58.83007621,70.20602786,77.60329474,22.51385184,66.02758617,8.79294229,54.87758161,3082.702603,170.4638487,264.1689327,13.63474676,51.01257424,23.24773085,16.86958994,11.94163936,52.46753112,21.66163147,9.485665536,312.8139411,671.9429785,339.51982319999996,28.21620388,9.92999506,13.759355599999997,6.359026847999999,162.642107,11.14142607,21.11560971,8.626784994,115.64050470000001,42.88264533,10.33630757,11.83606812,172.77719530000002,34.81714495,190.3528025,85.92809464,74.72945004,74.68419186,24.29059628,409.4742727,23.64437333,236.2590855,20.70821074,650.1762287,25.60639053,28.31324104,108.90172530000001,73.91001697,4420.181822,32.50628993,527.4878305,2137.79826,15.48136741,10.90983215,24.34677873,132.5992679,7.564260247999999,47.74080539,160.2487174,25.62149938,5.094678119,12.98081445,73.96813522,12.22008148,320.4854389,54.72112555,33.63375615,198.2682696,425.9640893999999,64.08047781,43.58775518,32.1175736,62.66317654,41.15665993,16.12351067,23.07749937,5.810059749,66.21246795,209.73051890000002,63.32397874,56.52048734,481.04498370000005,6.433514196,41.61835392,28.60903638,45.34941389,89.99643822,34.80582822,54.27917921,28.98253736,55.16368773,22.17539657,35.59890598,37.95723506,6.018082982999999,326.0826792,9.674941916,110.91771570000002,16.70252137,23.66887122,19.70918206,8.635286236,8.843589132,10.95204975,6.824011131000001,83.54751425,23.88425547,10758.50504,control
4,44.13355325,43.13843699,16.03567302,27.87938825,47.02027267,128.64806969999998,42.81394884,22.37235154,17.38146765,82.92585059,109.4576517,22.30983595,245.9765545,17.93696629,330.10175530000004,200.5401088,590.8569183,35.442685100000006,48.18182049,34.34182966,44.0656628,207.6148747,32.50250484,44.0395249,56.30639966,21.82002728,36.21722237,75.86618041,9.364214619,379.3713708,167.07568740000002,83.74052165,11850.99031,1514.252418,192.5723817,6.51233087,17.711985000000002,166.39808269999997,6.67093045,80.27845798,24.49375403,54.43105145,15.16477303,47.13337224,51.97215587,33.98626695,43.68490658,6594.099770000001,20.22668518,1775.968158,29.07352307,392.860688,13210.0655,27.43388431,39.01897568,65.65336264,738.8542556,13.47891066,37.28266284,36.4529079,7.027760371,254.28419780000002,24.84421409,32.89291587,64.91657589,118.6137952,24.10985384,35.76087173,2666.885185,81.72417483,15.02636347,866.7481247999999,19.78266657,12.16096661,10.19662637,77.67874569,104.2613041,31.45132735,142.4916925,17.50310537,549.6528812000001,97.56677252,15.42347559,826.1385826000001,482.0129176,70.20413003,16.03363909,283.8098794,16.69562273,499.2715882,35.81408057,75.44806523,92.75994118,83.10002466,23.9128636,65.62501762,10.01478122,67.80628037,4166.066057999999,262.7317966,203.01788249999998,17.90696581,80.89816088,17.58540919,13.64274455,15.48788242,67.60916855,30.08390623,9.90414887,387.5608414,985.5832995999999,372.9423956,60.65791484,10.07826925,18.03676874,9.01405342,142.136769,13.96087054,21.79114351,11.07929364,111.18343119999999,44.77734241,13.45753246,12.85994886,61.66829268,52.05796459,345.92033139999995,32.32651323,73.59454861,91.88802791,15.957093599999999,378.555495,23.58278177,155.68660359999998,22.36959141,429.20706090000004,32.48255025,51.01639318,23.45447007,61.83865347,6504.353716,38.20522363,998.6733067,3218.98469,11.41567292,11.4255523,19.82357146,61.19750793,6.273941164,31.41073942,93.09075543,20.70867007,5.10466399,15.11464302,55.58150522,14.21898915,204.5440839,25.99528379,36.4527563,288.5574962,461.7832392,93.41141792,35.09989963,21.16569563,95.60101299,25.02949018,17.65572306,33.42565671,5.866983766000001,25.17739298,370.0478438,52.11508052,34.53305346,378.1953985,7.464481236,40.65052276,27.982772399999998,34.95691584,64.55603202,29.74167511,58.75374876,31.95671038,80.26994478,17.1577444,48.15611159,39.59855828,5.983621836,201.1204538,7.259499066,67.48247584,15.27560908,30.84175593,18.9249817,9.328686754,10.42558187,12.0880615,7.645129821,115.3999669,27.28138533,8682.110085,control
5,54.36484011,47.47200241,18.14784075,35.99476015,43.97467469,99.35254371,27.65698527,24.60563767,26.90415331,96.82394691,84.01220339,21.33366606,182.0105164,18.58117719,553.8183324,125.3440757,324.3183851,42.54533361,59.653670299999995,33.88267798,47.79543745,177.5619934,36.70124249,65.30809857,62.57259364,28.57053209,39.55924536,77.93535266,15.37709421,397.7527238,156.29957009999998,78.58516027,11862.90729,680.8008368,126.8171456,6.823306391,18.34741616,76.63412187,7.819438425,67.86218608,33.28247924,90.32747654,23.83513679,39.84942494,47.17144858,46.47181221,31.00304471,4849.7343200000005,16.16884813,1120.129641,29.73262634,206.18820569999997,13078.32355,25.65398427,63.67874509,51.58018348,1331.060102,18.33456332,36.38091694,45.35111135,6.822199765,222.7188721,28.21745561,37.90559747,67.93537036,121.3969193,41.23295637,23.32839261,2130.2839089999998,87.31012125,13.36680721,376.0185434,23.78547613,11.50397069,9.220333922,62.29536844,54.35459134,34.07528929,132.17421969999998,19.3108264,353.0987736,166.4040804,15.79362023,473.915488,410.5667544,26.95412179,17.54037881,201.6399931,12.46688387,356.3880123,21.73727215,63.41661643,87.27738674,93.74332098,19.00896398,44.93236206,9.799431121,70.13015444,2711.41457,150.1741825,249.6589818,14.5740506,61.57867842,19.532314399999997,11.09488647,14.25403039,57.01149783,30.93559763,10.78182131,294.3025026,1700.3075410000001,378.2003793,25.84420646,11.16478837,16.00502472,9.209437237000001,44.44148131,10.04824054,21.77204473,8.31690066,26.23387467,42.15456597,10.04528089,14.90838421,122.79210549999999,43.65996292,199.03895419999998,30.33082847,76.99708909,82.15297983,64.43934837,549.3538852,24.60563767,174.0997112,31.33756113,498.65458319999993,43.54768132,43.67742804,59.00989557,65.87563233,4311.128949,40.8614643,175.526251,2829.556049,10.84927701,15.80228192,15.08542043,116.67478510000001,8.747064911,30.42750215,140.50328000000002,29.89797773,5.68538087,11.39207781,97.04291621,13.82260859,312.0118473,38.10028805,25.44381329,245.540637,230.76506119999996,69.92182813,55.18104985,24.6776652,69.48564221,25.37157191,20.80222584,33.24319175,6.119377921,32.99706955,322.7727557,58.38253704,133.7493435,365.36787999999996,6.495150702999999,50.10264977,36.37007511,56.96816377,62.49721514,26.02578907,54.83590753,72.31645237,68.95145068,15.83104955,55.62486406,45.53616849,5.780607029,191.88458400000002,5.768155269,83.83379303,13.21630517,28.755101,20.50771715,9.178408388,9.597588777,11.09327161,6.855334202000001,83.17205655,30.9827651,5926.686373,control
6,28.98878576,47.72800074,12.39366523,33.61711468,36.65855464,119.3232196,33.90957976,12.06039288,18.36629859,59.08807116,126.8630392,54.20582545,280.28039029999997,20.45812469,457.87151339999997,272.358862,544.3568871,26.72516593,53.89651183,25.35995007,35.64480689,252.1658327,29.69446222,48.16315513,34.35040015,17.36946003,38.54193236,56.983723899999994,10.32633212,415.51881660000004,216.4522519,85.3522926,11328.97722,968.9705445000001,182.7206655,8.31222093,15.91476556,150.5508455,7.102657903,60.47646887,24.91832173,59.37324255,17.13405833,63.53541159,35.37077684,20.2571597,31.36970376,5469.298169,14.23830001,1910.004074,30.29807018,399.1231084,12413.65211,25.00094981,42.89111751,55.74026669,1302.800082,16.03320566,29.17464104,31.30588542,5.892231036,217.3025057,27.85323513,31.12825934,29.77205704,92.28325588,24.16037597,82.62044926,3075.446151,82.63224734,13.07644977,427.40500729999997,13.98029598,11.05534391,8.609246647,66.3164098,77.13977324,30.90287161,80.50714931,18.28656252,470.55449460000006,77.39073735,15.256065099999999,1018.806956,717.1007419,42.32021348,19.16117331,345.4042442,17.543905,659.4219042000001,20.53183974,64.06355709,47.45032291,83.72450289,19.73936945,88.8681777,9.594063578,36.1692305,3354.402279,228.11254830000001,227.0192775,10.42769221,52.58090252,16.85848514,19.16424158,11.53600668,85.77123567,28.08628684,10.71618138,324.0348111,778.1777929,353.9561911,55.43114871,8.823768861,15.45596685,8.498958158999999,190.4660428,10.2552233,17.48298957,8.460406602,199.62394880000002,40.74434689,9.360736207,8.670522889,128.03833400000002,38.23688255,278.6688626,75.27265742,74.11024041,118.8752035,34.3529479,533.3500841,20.99487073,131.6437301,16.67294442,563.4887511,25.53740452,37.30807454,138.1280011,65.46709237,5398.82598,34.3579249,608.2522746000001,2358.673481,39.23991469,9.316596424,21.80542191,121.34223670000002,7.285989924,55.91176566,152.07645530000002,28.16963568,5.028039557,15.46704833,72.45603729,16.55789075,238.7362776,40.98138963,32.77859246,199.8907635,445.7586551,59.11375661,34.51520146,35.69338942,71.25093297,48.48571991,16.20475159,32.95514927,5.495043873999999,29.89155407,218.7577017,47.84200675,43.22242165,557.0009585,8.663716291,43.41693566,43.74196117,44.84322092,116.6434107,28.3017626,50.35998681,33.35643032,58.60045657,26.22543868,36.32011839,40.3423718,6.201516281,260.124955,7.9174014239999995,92.18978513,13.78216854,27.69341376,14.08138173,7.907074402999999,7.646974165,10.70978045,7.916896551000001,92.12699175,20.72738198,9996.587667,control
7,29.13808178,35.99620726,14.10842465,54.18786872,30.19787235,145.95997509999998,47.24022726,21.75529991,17.83626952,60.15038223,138.74529130000002,37.89122823,260.06383880000004,15.20354658,273.9413045,212.98706409999997,488.0513034,27.866154100000003,43.88998889,30.23104616,32.14817644,216.74441370000002,28.24199308,72.13817399,39.9734725,17.17809322,22.64225905,58.79925619,10.5670883,349.87796560000004,183.4546929,74.43607091,11136.66774,891.6860272,132.3638179,7.292851411,12.63642097,166.58584409999997,7.0045530629999995,56.41066347,25.1646565,59.97797878,12.36322311,47.33941589,34.47252332,22.77804463,31.05464133,5310.5663079999995,15.128667300000002,1414.748605,26.18017798,408.9027627,12641.85016,19.97128144,39.74248008,57.12201632,971.2366142999999,10.06504,30.62014055,25.36736915,6.139946139,157.00165969999998,20.21557032,27.17840713,52.79535134,71.79980397,28.19610543,57.84546687,2784.0125510000003,53.59680141,12.48598731,627.5932389,14.15069494,10.68625912,10.18863587,55.64360553,101.24213320000001,45.52925666,67.69409092,23.29531607,433.5618481000001,166.936197,13.90285239,736.8550305,572.81839,46.01240625,11.44834382,279.4232,11.95474126,464.2995267,21.40641058,53.96922256,69.81126749,74.08568995,18.89968128,94.09922918,7.699218424,44.363521999999996,4073.067478,222.31862400000003,259.5180367,13.20884119,47.27832438,13.68147623,22.36111155,13.86343635,79.63076432,25.19062479,9.706424795,362.5896665,1501.303559,396.97463010000007,59.00453758,9.93749342,11.01214037,8.43298273,183.9956693,9.244876198,19.12754749,9.973099889,119.80464209999998,37.43669057,9.69621037,9.647846809,100.7321918,35.14284293,284.9150459,68.38111301,54.38888707,95.04105858,51.34909696,549.8289269999999,21.20963664,182.91999819999998,15.66017034,542.6943204,26.08077798,28.80381498,72.37131095,82.4143125,6176.5692229999995,33.14853025,721.8923973,2988.0529530000003,19.47506178,9.486204698,20.86199179,156.44351,6.974655696,53.67249317,147.1294255,24.24771676,5.041569739,27.96161917,60.83488706,12.08702257,258.7950118,46.86850917,33.66818396,251.2660599,755.3157183999999,54.60571328,27.50776461,29.19412163,70.17172875,40.71622773,18.70378051,27.71868671,6.253530893,27.21822346,179.8276433,68.36935927,90.96306743,439.64522819999996,9.585143296,38.74362395,29.96814749,35.53850284,83.14421603,38.65207605,42.76358801,27.80749727,61.43956089,25.191428,31.56362501,38.27981626,5.852954242999999,357.106108,7.853964081,90.98507481,12.28699315,24.92668282,12.90753853,8.683863207,10.99696873,9.975734023,9.409675687,92.40160461,26.11768281,10825.60475,control
8,41.68721246,44.33938947,15.38012155,17.95209114,39.98414131,143.54666469999998,145.8555021,19.8073092,16.70726874,75.53670772,91.59259118,30.29158156,165.23631709999998,15.8463207,499.0722924,248.8721527,451.9229459,34.06638602,60.32411751,32.63189805,40.37521396,184.56472069999998,26.79542883,68.42900193,38.82497256,21.00434657,28.44738234,56.1431848,11.23782551,467.5568558,147.72702859999998,86.21703237,12899.25389,856.0053481000001,131.98946750000002,8.497874279,15.30218749,105.66252639999999,5.573590464,63.88051329,25.74288785,69.73939773,14.56476986,51.72941603,57.19626362,16.85534206,39.90205103,5664.920521999999,13.60217073,1411.437959,26.96836213,318.0833398,14217.79384,27.358799100000002,40.99482793,60.83130292,1608.700453,13.07412962,29.34246157,30.91587643,6.93886645,221.8326637,22.29487182,33.67728662,55.98180117,122.94847240000001,30.72342182,32.53306855,3072.122438,66.70190222,14.71819654,366.6841255,20.14409379,11.30226488,6.9078368039999996,72.78660152,52.97434722,31.54872945,94.26288945,23.8115231,347.2136848,85.16802561,11.535191099999999,853.4784997000002,359.54636150000005,39.63609697,16.73327582,445.4105746999999,13.14877962,293.1993307,26.595015999999998,67.05816034,76.87294319,86.68190773,26.96725926,43.13075304,9.558730329,62.10041481,2774.707538,194.8394492,329.687185,12.40053965,54.21630923,21.85199359,15.84810018,14.64393124,45.16164088,22.53877186,8.4027875,262.7518296,948.5098859,380.7153688,36.75979969,9.679207972999999,13.04662733,6.2487386439999995,118.9372654,11.3128459,16.05000676,9.396581525,115.6916555,44.5733658,11.83072023,10.45193389,108.2192247,36.638588,222.7990082,78.9541941,83.21345989,54.65910758,24.84743457,344.884863,21.60078743,114.06987290000001,25.92514225,441.7786841,30.80524277,29.23989043,62.86007115,70.52270953,5097.06134,28.74344343,255.4829139,1927.5198469999998,11.81975314,10.04415993,26.83200579,95.90040481,8.677431071,66.59227856,120.98589059999999,22.01454314,5.6739089510000005,13.28543904,74.25416266,10.80413001,406.6004495,41.68235832,30.47621853,239.9689608,507.2320161,61.03191697,51.73701808,22.55979417,57.04185524,39.76411067,15.40760801,27.78718917,6.798295157999999,81.29974939,332.4782142,43.55181685,43.85073137,394.10821180000005,6.28569818,41.63312654,38.42749424,49.04343079,97.58327518,23.39841662,45.64389489,53.66211456,56.81917583,20.32421886,41.99774611,45.02501963,6.014584181,296.4923354,8.152129672000001,69.14787447,14.50646405,22.38978858,15.3043408,7.043194872000001,9.060338806,11.69793522,7.182399993,82.20749342,22.09339158,9990.699661,control
9,32.57431645,45.98221314,10.29793383,33.91743111,33.53319401,92.35153271,88.14348295,15.67067045,21.94438601,62.75641349,136.5159775,38.386762899999994,258.53485789999996,17.6662264,437.1558818,251.44673319999998,493.6090379,31.36292042,53.07722352,30.35093382,41.83686953,200.9475253,27.33573004,38.03018363,32.18753074,17.46204961,33.81402851,61.25463039,13.97391147,363.315977,192.3557306,71.10952923,11884.6352,1161.2637789999999,200.8526937,8.583077351,13.972294,148.2863509,6.619774165,59.83285502,20.5226482,55.27077742,15.64609799,56.69206834,30.93431108,34.68355801,38.35301261,5467.251396,10.93253453,1863.849944,29.73821193,455.9649125,12804.9145,25.69099747,42.93850332,47.545206799999995,1137.010609,11.69778116,34.54088158,29.49341552,6.994849417999999,168.0885916,20.20751481,31.484175899999997,35.48304708,91.17459620000001,30.18684342,109.9939986,3434.32296,68.86953352,14.12533326,457.0451876,15.53513636,10.52828104,8.492080222,52.39677093,67.36349098,32.64108254,82.65046321,21.06041558,480.3556012,73.70190477,12.30154828,1013.1998130000001,748.7431038,79.32886486,18.66975383,329.8165537,15.19885776,464.5155234,19.88995352,56.43299449999999,69.72402741,87.56843359,17.90486828,101.74964849999999,9.138155548,33.25148806,3622.7762770000004,204.5805244,227.11024849999998,16.23509588,48.79924763,24.852154100000003,16.79038027,14.53401102,46.50442199,25.99157223,6.560178179,438.8968179,653.7775377,358.734329,43.85647641,11.31096411,12.09770096,8.359194908,157.181433,11.08391003,17.40372234,10.36339647,146.643773,43.42268406,10.51212915,9.407393162,126.4482272,30.34975573,268.8556537,131.4256445,64.62708431,115.2828423,26.96490414,496.4236369,14.82896498,237.6505615,21.53851679,575.6547492999999,25.41420154,33.96975717,308.9400287,68.98281035,5112.984723,33.29858576,961.7692563999999,2519.1127850000003,13.72602517,11.56319359,16.54806931,83.88133979999999,10.07995295,63.7442365,110.0552379,19.08047259,6.258721583,13.57702984,70.87672315,13.57702984,278.35110499999996,55.05531721,46.43288445,227.61266099999997,390.8764891,45.72324846,25.18449679,19.22439111,73.16389620000001,35.89659258,12.94117762,25.17481026,5.061286002,44.32264275,286.4770982,66.48808867,46.12330535,512.5770234,8.206545186,39.19603999,30.35139665,31.59197005,92.36446429,29.03550055,43.95699931,30.39756804,54.11272541,22.19777239,38.98075152,35.11506012,5.788184865,327.16486230000004,8.070443741,82.09855929,15.65648014,26.56507719,20.48640594,7.590389925,10.68211192,12.72184492,7.47423539,87.66845997,19.81532878,10220.86729,control
10,30.22628985,49.83930344,16.05011801,36.8341233,33.69124882,160.64329990000002,45.05467791,20.88515579,20.31481047,79.12304263,92.21528519,31.70690162,168.4795876,19.98277447,378.8035392,211.8664003,714.1399417,35.3499189,47.16258859,41.19738899,37.91952533,230.8456921,27.92994834,61.10302925,49.52276632,23.81241438,34.47727866,62.33791512,11.47644572,397.27824960000004,120.1389375,80.69654494,8918.466811,1420.0834539999998,264.4862662,6.344168107000001,14.93910693,89.3098256,6.940776147,60.64828733,25.44608848,65.31507023,13.89014736,49.59810172,46.94992669,21.89392941,35.83041877,5994.526142000001,15.84143365,1133.23394,24.69083977,366.8061455,10416.47845,32.03732971,43.12310036,75.32913198,868.5451277000001,11.89686874,28.43799801,33.53526274,6.1220337570000005,204.9808039,23.45107252,18.72941586,44.02472234,101.10447190000001,21.9390325,38.09830742,2240.507748,61.60642868,12.93447866,792.4109466,18.16773925,11.19092202,8.957604692,76.98332078,128.6483372,28.48264063,71.108297,22.32905051,598.8330348,86.02588954,14.28458284,530.4011157,354.41675539999994,47.56247879,13.1429206,374.2252256,14.84394854,489.2530383,29.18299405,82.37016651,98.02936007,67.73666253,27.21699719,80.89754406,8.860020274,60.16948069,3036.997488,261.6789381,247.97777250000001,17.1932217,55.80382082,18.0004741,10.87030112,12.47701569,77.31899606,29.56898876,10.98819871,181.7247361,1187.951317,492.7503207,50.11828004,13.99220086,12.84671862,8.87837718,246.8950326,12.11771689,17.44949041,8.697627966,134.3751915,48.46085656,16.28376047,11.97774983,87.51491448,47.18135674,357.34059310000004,87.59465897,71.35328769,140.4544964,20.13771379,389.73562460000005,22.61645645,66.00013178,27.24291169,413.45428169999997,26.17509739,33.24494302,22.32905051,66.24524508,6627.320614,47.34778399,1040.686633,3323.712778,12.74729295,12.21633818,21.80117519,125.30411640000001,7.034237275,44.98923717,151.4204237,21.74899753,7.120033356,16.26796628,38.74464445,12.0814608,224.4379764,46.82434797,31.35029253,261.5741203,634.953002,86.74062901,17.86522279,21.91500344,65.16367211,30.38528671,14.78734355,29.12467407,5.65192374,39.58096826,212.7868225,41.87304705,43.30578935,240.2450673,9.369337244,39.37459011,23.33723928,29.64775583,71.68145418,25.79000236,52.19638545,28.56641325,67.45759597,21.26068242,45.41109752,50.98892441,5.927172314,335.5888564,6.811209465,71.76039866,13.40435597,27.23669978,17.04734308,10.94830784,8.155221151000001,10.07882813,9.872291543,88.34631164,25.07286582,9779.872895999999,control
